timestamp,modo,evento,precio,detalle
2026-07-28 03:44:02,LIVE,CIERRE TIME(26m),4044.8,SELL entry 4047.3 pnl +37.40 (real)
2026-07-28 04:00:02,LIVE,ABRE SELL,4045.6,sl 4051.6 tp 4036.6 racha_div 2 exp_mom 46
2026-07-28 04:26:02,LIVE,CIERRE TIME(26m),4041.9,SELL entry 4045.6 pnl +26.40 (real)
2026-07-28 04:31:02,LIVE,ABRE BUY,4038.3,sl 4032.3 tp 4047.3 racha_div 2 exp_mom 125
2026-07-28 04:36:02,LIVE,CIERRE SL,4033.1,BUY entry 4038.3 pnl -63.60 (real)
2026-07-28 05:58:02,LIVE,ABRE SELL,4027.7,sl 4033.7 tp 4018.7 racha_div 2 exp_mom 76
2026-07-28 06:24:02,LIVE,CIERRE TIME(26m),4029.7,SELL entry 4027.7 pnl -13.60 (real)
2026-07-28 06:44:02,LIVE,ABRE BUY,4027.1,sl 4021.1 tp 4036.1 racha_div 2 exp_mom 22
2026-07-28 07:10:02,LIVE,CIERRE TIME(26m),4025.7,BUY entry 4027.1 pnl -13.60 (real)
2026-07-28 07:12:02,LIVE,ABRE BUY,4023.9,sl 4017.9 tp 4032.9 racha_div 2 exp_mom 43
2026-07-28 07:24:02,LIVE,CIERRE TP,4033.0,BUY entry 4023.9 pnl +88.40 (real)
2026-07-28 07:42:02,LIVE,ABRE SELL,4031.8,sl 4037.8 tp 4022.8 racha_div 2 exp_mom 60
2026-07-28 07:49:02,LIVE,CIERRE SL,4035.7,SELL entry 4031.8 pnl -61.60 (real)
2026-07-28 09:16:02,LIVE,ABRE BUY,4025.2,sl 4019.2 tp 4034.2 racha_div 2 exp_mom 64
2026-07-28 09:21:02,LIVE,CIERRE SL,4018.9,BUY entry 4025.2 pnl -67.60 (real)
2026-07-28 09:24:02,LIVE,ABRE BUY,4018.0,sl 4012.0 tp 4027.0 racha_div 2 exp_mom 392
2026-07-28 09:50:02,LIVE,CIERRE TIME(26m),4027.4,BUY entry 4018.0 pnl +61.40 (real)
2026-07-28 10:02:02,LIVE,ABRE SELL,4026.8,sl 4032.8 tp 4017.8 racha_div 2 exp_mom 158
2026-07-28 10:11:03,LIVE,CIERRE SL,4028.8,SELL entry 4026.8 pnl -63.60 (real)
2026-07-28 10:20:03,LIVE,ABRE SELL,4035.9,sl 4041.9 tp 4026.9 racha_div 2 exp_mom 38
2026-07-28 10:44:02,LIVE,CIERRE SL,4040.9,SELL entry 4035.9 pnl -62.60 (real)
2026-07-29 02:04:02,LIVE,ABRE SELL,4040.9,sl 4046.9 tp 4031.9 racha_div 2 exp_mom 40
2026-07-29 02:23:02,LIVE,CIERRE SL,4046.0,SELL entry 4040.9 pnl -61.60 (real)
2026-07-29 02:29:02,LIVE,ABRE BUY,4043.8,sl 4037.8 tp 4052.8 racha_div 2 exp_mom 15
2026-07-29 02:55:02,LIVE,CIERRE TIME(26m),4042.4,BUY entry 4043.8 pnl -17.60 (real)
2026-07-29 03:24:02,LIVE,ABRE BUY,4038.6,sl 4032.6 tp 4047.6 racha_div 2 exp_mom 3
2026-07-29 03:50:02,LIVE,CIERRE TIME(26m),4036.3,BUY entry 4038.6 pnl -21.60 (real)
2026-07-29 04:32:02,LIVE,ABRE BUY,4032.2,sl 4026.2 tp 4041.2 racha_div 2 exp_mom 140
2026-07-29 04:58:02,LIVE,CIERRE TIME(26m),4032.2,BUY entry 4032.2 pnl +2.40 (real)
2026-07-29 05:14:02,LIVE,ABRE BUY,4031.1,sl 4025.1 tp 4040.1 racha_div 2 exp_mom 25
2026-07-29 05:40:02,LIVE,CIERRE TIME(26m),4028.8,BUY entry 4031.1 pnl -24.60 (real)
2026-07-29 05:40:02,LIVE,ABRE BUY,4028.9,sl 4022.9 tp 4037.9 racha_div 6 exp_mom 1
2026-07-29 06:06:02,LIVE,CIERRE TIME(26m),4026.5,BUY entry 4028.9 pnl -17.60 (real)
2026-07-29 06:37:02,LIVE,ABRE BUY,4030.4,sl 4024.4 tp 4039.4 racha_div 2 exp_mom 17
2026-07-29 07:03:02,LIVE,CIERRE TIME(26m),4029.6,BUY entry 4030.4 pnl -0.60 (real)
2026-07-29 07:08:02,LIVE,ABRE BUY,4030.5,sl 4024.5 tp 4039.5 racha_div 2 exp_mom 3
2026-07-29 07:17:02,LIVE,CIERRE SL,4021.2,BUY entry 4030.5 pnl -61.60 (real)
